"Statewide Allocation Detail"
"August 2019 - August 2023"
"Report Date: 09/28/2023 19:14 PM",
"Municipality","Establishment","License Number","VGT Count","Amount Played","Amount Won","Net Wager","Funds In","Funds Out","Net Terminal Income","NTI Tax","State Share","Municipality Share",
"Belleville","Night Moves of Belleville, Inc.","120712776","6","16551004.1000","15243687.6700","1307316.4300","5416839.0000","4109375.0500","1307463.9500","443219.9900","377846.7900","65373.2000",
"Belleville","Papa Vito's, Inc.","200701752","3","465781.4000","420965.1800","44816.2200","211664.0000","166826.7800","44837.2200","15244.8700","13002.9600","2241.9100",
"Belleville","Papa Vito's, Inc.","210700792","6","1491404.6200","1366416.3600","124988.2600","572646.0000","447657.7400","124988.2600","42496.1800","36246.7600","6249.4200",
"Belleville","Parr Pizza LLC","180702748","3","298506.7400","269390.3600","29116.3800","132955.0000","103838.6200","29116.3800","9686.3000","8230.4700","1455.8300",
"Belleville","PARR PIZZA LLC","210700819","6","2628803.3500","2406919.5600","221883.7900","946778.0000","724894.0100","221883.9900","75441.0500","64346.7900","11094.2600",
"Belleville","ROGER'S PLACE, LLC","190701288","4","4938442.9300","4513123.3800","425319.5500","1548233.0000","1122913.4500","425319.5500","144170.5300","122904.5300","21266.0000",
"Belleville","RON & MICHELE CENTERFIELD TAVERN, LLC","160702996","6","12475116.0700","11390856.9800","1084259.0900","4296580.0000","3212297.7200","1084282.2800","367371.1800","313156.9900","54214.1900",
"Belleville","RONNIE PHILLIPS","220700954","3","57251.8300","48712.0000","8539.8300","20915.0000","12375.1700","8539.8300","2903.5700","2476.5800","426.9900",
"Belleville","SAIGON VIETNAMESE RESTAURANT CORP.","180703552","5","3675581.4000","3347775.4700","327805.9300","1333247.0000","1005440.3300","327806.6700","111056.3000","94665.9600","16390.3400",
"Belleville","Salije Asani","170701166","6","16479896.5800","15045371.9000","1434524.6800","5670748.0000","4236223.3200","1434524.6800","486409.3600","414683.0600","71726.3000",
"Belleville","Schatze's Sports Bar & Grill, Inc.","180700962","5","2277954.0900","2079934.8800","198019.2100","761376.0000","563356.7900","198019.2100","66009.1000","56108.0800","9901.0200",
"Belleville","Signature Spirits LLC","200702830","6","16586183.3000","14942050.6700","1644132.6300","5603976.0000","3959842.9100","1644133.0900","559005.5900","476798.9200","82206.6700",
"Belleville","Smeez Inc.","120700625","6","9229606.7300","8472647.8300","756958.9000","3113685.0000","2356703.4900","756981.5100","255659.4800","217810.3400","37849.1400",
"Belleville","St. Clair County Event Center LLC","190702443","6","2197171.9900","2016660.5900","180511.4000","737200.0000","556688.6000","180511.4000","61195.9600","52170.3900","9025.5700",
"Belleville","St. Louis Keg Company","150704027","3","5421494.3200","4968593.2600","452901.0600","1899308.0000","1446406.2400","452901.7600","153337.2900","130692.1900","22645.1000",
"Belleville","Sullivan's Bar & Grill of Belleville, Inc.","120700246","6","14515629.3300","13412654.5200","1102974.8100","4330022.0000","3226903.7100","1103118.2900","373778.2100","318622.2800","55155.9300",
"Belleville","The Corner Chill and Grill LLC","150703039","6","13185849.3100","12164904.0100","1020945.3000","4141091.0000","3120145.3000","1020945.7000","345420.7100","294373.2900","51047.4200",
"Belleville","THE ORCHARDS GOLF CLUB, LLC","190700626","4","5550449.0200","5144385.4200","406063.6000","1494194.0000","1088130.4000","406063.6000","137798.4500","117495.3000","20303.1500",
"Belleville","The Quarter Group LLC","220703173","5","96195.6200","97424.6800","-1229.0600","34741.0000","35969.9100","-1228.9100","-417.8100","-356.3600","-61.4500",
"Belleville","TJBC, Inc.","170702264","5","296186.8900","282300.6300","13886.2600","113819.0000","99932.7900","13886.2100","4582.6000","3888.2900","694.3100",
"Belleville","Vincint Von Hart, LLC","140701035","6","11666261.1000","10723332.8600","942928.2400","4887027.0000","3944062.0600","942964.9400","319462.5200","272314.2200","47148.3000",
"Bellevue","Bellevue Tap, Inc.","160702870","6","16473775.7800","15148646.2400","1325129.5400","5342925.0000","4017795.4600","1325129.5400","449091.7800","382835.2500","66256.5300",
"Bellevue","CLAYGAMES, INC.","210700519","6","21312548.8100","19407147.8400","1905400.9700","7695000.0000","5789594.2600","1905405.7400","647838.3200","552568.0000","95270.3200",
"Bellevue","D & M Bar & Grill Inc.","120707833","5","653427.6700","597905.3800","55522.2900","205594.0000","150071.7100","55522.2900","18322.4100","15546.2900","2776.1200",
"Bellevue","Gold Mine Gaming Inc.","210702171","6","10086381.6800","9212869.3200","873512.3600","3477827.0000","2604314.6400","873512.3600","296994.4700","253318.8200","43675.6500",
"Bellevue","IRHERE Tap, Inc.","210702361","6","9294011.1900","8556070.1300","737941.0600","2912999.0000","2175020.4900","737978.5100","249447.0300","212547.9300","36899.1000",
"Bellevue","Millie Jo, LLC","200702238","6","6574924.9400","6088742.1300","486182.8100","1892156.0000","1405868.9400","486287.0600","165337.8700","141023.5000","24314.3700",
"Bellevue","PLANK ROAD LIQUOR LLC","190700034","5","8719039.0200","8014759.4600","704279.5600","3063024.0000","2358744.4400","704279.5600","238254.6600","203040.7000","35213.9600",
"Bellevue","Plank Road Liquor LLC","200702944","6","3533082.3400","3276237.0200","256845.3200","1146987.0000","890126.6800","256860.3200","87332.6900","74489.6800","12843.0100",
"Bellwood","""FOUR R'S"" RESTAURANT & LOUNGE, INC.","190702651","6","91579.1300","83428.8500","8150.2800","35009.0000","26858.7200","8150.2800","2761.1400","2353.6300","407.5100",
"Bellwood","CREATIVE FOOD, INC.","190703120","6","9982029.0700","9033760.1500","948268.9200","3979561.0000","3031208.4400","948352.5600","322440.4400","275022.7300","47417.7100",
"Bellwood","HIDEAWAY LOUNGE, INC.","120707189","6","5552649.9000","5017564.1400","535085.7600","1934289.0000","1399203.6400","535085.3600","180899.4300","154145.0800","26754.3500",
"Bellwood","Stacy's Cafe, Inc.","120710949","5","6503758.5000","5963208.1600","540550.3400","2427167.0000","1886616.6600","540550.3400","183156.7300","156129.1500","27027.5800",
"Belvidere","1 Stop Shop, INC.","180703718","6","15199597.2200","13746743.8500","1452853.3700","5826685.0000","4373706.7800","1452978.2200","492345.0100","419696.0800","72648.9300",
"Belvidere","A & B Gaming LLC","140703665","6","16482931.1700","14935288.9600","1547642.2100","5516269.0000","3968310.8400","1547958.1600","524037.1100","446639.2400","77397.8700",
"Belvidere","A G P 18 INCORPORATED","150704443","6","7614822.8200","6955810.0900","659012.7300","2677875.0000","2018862.2700","659012.7300","222994.3200","190043.6300","32950.6900",
"Belvidere","AHRB INC.","210700698","6","6003156.4800","5511130.2800","492026.2000","2029778.0000","1537751.3000","492026.7000","167289.2300","142687.9000","24601.3300",
"Belvidere","Anna's Cafe LLC - Belvidere","160701745","6","20997750.6200","19272447.9400","1725302.6800","6449532.0000","4724188.8900","1725343.1100","584488.6300","498221.4100","86267.2200",
"Belvidere","ANNIE'S BELVIDERE LLC","220700385","6","4984693.1400","4547110.9400","437582.2000","1848460.0000","1410877.8000","437582.2000","148778.1400","126898.9700","21879.1700",
"Belvidere","Apollo A.C., Inc.","130700526","5","675203.2100","615757.6000","59445.6100","238789.0000","179342.8000","59446.2000","19997.2100","17024.8700","2972.3400",
"Belvidere","Belvidere Lodge No. 295, Loyal Order of Moose","120812088","3","876602.3700","797403.3000","79199.0700","352669.0000","273469.9300","79199.0700","26832.2200","22872.2400","3959.9800",
"Belvidere","Belvidere Sales, Inc.","190702700","5","2246490.4500","2066483.8100","180006.6400","710152.0000","530145.3600","180006.6400","61202.2900","52201.9400","9000.3500",
"Belvidere","Belvrag, LLC","220703403","6","1960338.4700","1760489.0400","199849.4300","704528.0000","504678.5700","199849.4300","67948.9000","57956.4300","9992.4700",
"Belvidere","Bravo Pizzaria of Belvidere, LLC","210700438","6","1806314.6800","1697255.7000","109058.9800","615952.0000","506893.0200","109058.9800","37080.4400","31627.4600","5452.9800",
"Belvidere","Buchanan Street Pub, Inc.","120712806","6","10495271.4500","9454200.9000","1041070.5500","3870014.0000","2828927.4500","1041086.5500","351965.7000","299911.2700","52054.4300",
"Belvidere","C L Quick Stop of Belvidere, Inc.","140701849","6","22360820.9000","20465266.0400","1895554.8600","7533652.0000","5638064.5100","1895587.4900","641451.5800","546672.1000","94779.4800",
"Belvidere","C L Quick Stop of Belvidere, Inc.","180700652","6","15302480.8300","14001136.2000","1301344.6300","4909738.0000","3608393.3700","1301344.6300","440520.5700","375453.2600","65067.3100",
"Belvidere","DAVID LEE SIPE SR.","120712742","5","1015576.0500","956091.3300","59484.7200","235457.0000","175962.2800","59494.7200","19916.9500","16942.2000","2974.7500",
"Belvidere","Deuce's Wild Hospitality Group, LLC","210700732","6","9633024.1800","8759275.4700","873748.7100","3204042.0000","2330259.6900","873782.3100","297086.6400","253397.4300","43689.2100",
"Belvidere","DODGE LANES, INC.","140703074","6","6044552.6900","5511743.8400","532808.8500","2412496.0000","1879672.2500","532823.7500","180358.6700","153717.4500","26641.2200",
"Belvidere","Dollar Bar LLC","170701752","6","20150256.2200","18381007.2300","1769248.9900","6495215.0000","4725949.1300","1769265.8700","599214.9900","510751.6200","88463.3700",
"Belvidere","DOLLAR BAR LLC","180702376","6","7820177.1500","7176089.5000","644087.6500","2548507.0000","1904302.0000","644205.0000","217908.0700","185697.7900","32210.2800",
"Belvidere","EXPRESSLANE, INC.","190702377","5","8793955.4300","8016509.7600","777445.6700","2718469.0000","1941015.1800","777453.8200","263911.8900","225039.1400","38872.7500",
"Belvidere","GALLANO-CONCORDIA, LTD.","120712502","6","14428884.9100","13136676.3700","1292208.5400","4975991.0000","3683781.2100","1292209.7900","437250.5700","372639.9900","64610.5800",
"Belvidere","Goldfish Gaming, Inc.","160702394","6","18364730.3400","16671187.8300","1693542.5100","6156674.0000","4463131.4900","1693542.5100","573354.6200","488677.4200","84677.2000",
"Belvidere","GRAMPA'S, INC. ","120712919","6","10157544.9100","9276503.2300","881041.6800","3589213.0000","2708129.6100","881083.3900","298160.4000","254106.1500","44054.2500",
"Belvidere","HAPPY 9 INC.","210700022","6","5814729.1000","5301467.6600","513261.4400","2122727.0000","1609465.4600","513261.5400","174509.2300","148846.1400","25663.0900",
"Belvidere","HRB GROUP INC.","210700699","6","4424104.9400","4030196.6800","393908.2600","1576500.0000","1182591.7400","393908.2600","133928.9400","114233.5400","19695.4000",
"Belvidere","Illinois Café & Service Company, LLC","130704514","6","22226808.4800","20328975.4500","1897833.0300","6955840.0000","5056362.6200","1899477.3800","643390.1100","548416.1700","94973.9400",
"Belvidere","Jack Rose, LLC","180700822","5","6212814.0500","5634232.4200","578581.6300","2242940.0000","1664339.3100","578600.6900","196073.8700","167143.8100","28930.0600",
"Belvidere","Jum Group LLC","210700353","6","2626845.9700","2386525.8200","240320.1500","957158.0000","716837.8500","240320.1500","81708.9500","69692.9400","12016.0100",
"Belvidere","Kelley Williamson Company","180703291","5","11558188.9500","10598966.0000","959222.9500","3971249.0000","3012026.0500","959222.9500","324639.1200","276677.8700","47961.2500",
"Belvidere","KRISHIV INVESTMENTS, INC.","220703858","5","228978.4100","208659.1200","20319.2900","77987.0000","57667.7100","20319.2900","6908.6600","5892.6800","1015.9800",
"Belvidere","KV Gaming Inc.","180700712","5","1834121.0900","1671927.4200","162193.6700","584419.0000","422225.3300","162193.6700","54257.4800","46147.7900","8109.6900",
"Belvidere","LA CANASTA SUPERMERCADO Y TAQUERIA CORP.","180703437","5","4331784.0600","3955461.6100","376322.4500","1428231.0000","1051908.9500","376322.0500","127139.4900","108323.3500","18816.1400",
"Belvidere","LACEY'S PLACE LLC SERIES BELVIDERE","160700828","5","1008579.3600","928844.5700","79734.7900","306192.0000","226457.2600","79734.7400","26312.5300","22325.7900","3986.7400",
"Belvidere","LCI Highland of Illinois LLC","170702480","6","18912461.2400","17290381.0400","1622080.2000","5832009.0000","4209928.8000","1622080.2000","549249.3600","468145.2500","81104.1100",
"Belvidere","MAGGIO'S PIZZERIA, LLC","220702356","4","232759.1800","218061.0100","14698.1700","103270.0000","88571.8300","14698.1700","4997.3800","4262.4600","734.9200",
"Belvidere","MB 396 LLC","200702998","6","2257969.9700","2039376.9700","218593.0000","829490.0000","610892.1600","218597.8400","74323.5900","63393.6500","10929.9400",
"Belvidere","My Gaming, Inc.","180703716","6","4608990.1700","4187311.4900","421678.6800","1635336.0000","1213636.3900","421699.6100","141834.9700","120749.9500","21085.0200",
"Belvidere","NGK Belvidere LLC","160701813","6","8151553.0400","7442438.3400","709114.7000","2819627.0000","2110512.4800","709114.5200","239903.6900","204447.8900","35455.8000",
"Belvidere","OLIVO GAMING INC.","210703079","6","491960.1300","448529.7100","43430.4200","167496.0000","124065.3800","43430.6200","14766.4700","12594.9400","2171.5300",
"Belvidere","ONE STOP PACEMAKER, INC.","150703855","6","28591028.8400","26233400.2000","2357628.6400","9824868.0000","7467238.3600","2357629.6400","798453.2600","680571.6400","117881.6200",
"Belvidere","Pinewoods Restaurant Group, LLC","150702424","6","26781712.0800","24410785.8000","2370926.2800","8640627.0000","6269700.7200","2370926.2800","802954.2100","684407.8900","118546.3200",
"Belvidere","Speedway LLC","161002424","5","19175489.9800","17500321.5200","1675168.4600","5733757.0000","4058587.9900","1675169.0100","567009.7100","483251.2500","83758.4600",
"Belvidere","State Street Gaming, LLC","180703888","6","18642326.4500","17040014.0600","1602312.3900","5996495.0000","4394035.7700","1602459.2300","543046.0500","462923.0700","80122.9800",
"Belvidere","The Shortline, Inc.","210700015","4","274982.1400","254842.1400","20140.0000","115745.0000","95605.0000","20140.0000","6847.7300","5840.7100","1007.0200",
"Belvidere","VIGNESH LLC","210701968","5","1947166.3800","1781744.9600","165421.4200","732240.0000","566817.5800","165422.4200","56243.7600","47972.5800","8271.1800",
"Bement","Albert Parker Post No. 620, The American Legion, Department of Illinois","140902356","3","998285.9000","951899.1600","46386.7400","261472.0000","215085.1600","46386.8400","15613.2200","13293.8700","2319.3500",
"Bement","GLENNON'S TAVERN, INC.","120711783","6","11636005.2800","10708349.9500","927655.3300","3346046.0000","2418330.2700","927715.7300","314410.9400","268025.1500","46385.7900",
"Bement","Larced, Inc.","120708195","5","5126826.2600","4770906.6600","355919.6000","1711191.0000","1354885.8000","356305.2000","120658.7600","102843.4900","17815.2700",
"Bement","SHREE RAJ SHYAMAJI CORP.","160704004","6","12887740.4100","11800520.2200","1087220.1900","3929444.0000","2842223.5400","1087220.4600","368561.2200","314200.1200","54361.1000",
"Benld","FISKO INC.","180701941","5","5754438.2000","5251966.0100","502472.1900","1815426.0000","1312921.7100","502504.2900","169980.7100","144855.4200","25125.2900",
"Benld","Jessica Rieffer","160702794","6","5014428.2300","4566382.7800","448045.4500","1607876.0000","1159830.5500","448045.4500","151308.1300","128905.8400","22402.2900",
"Benld","Randy Koniak","120707989","6","6787421.0000","6232579.0400","554841.9600","2465640.0000","1910797.9900","554842.0100","188184.1100","160441.9100","27742.2000",
"Benld","SCW, Incorporated","160702857","5","1726300.1100","1579320.1500","146979.9600","597912.0000","450932.0400","146979.9600","49715.5000","42366.4000","7349.1000",
"Benld","SG's Cabin Inc.","210703249","6","3491421.0900","3231533.8700","259887.2200","1193469.0000","933581.7800","259887.2200","88362.0600","75367.6400","12994.4200",
"Bensenville","120 GREEN STREET, LLC","210701949","4","2852279.2200","2649020.9500","203258.2700","964992.0000","761733.5700","203258.4300","69107.9800","58945.0600","10162.9200",
"Bensenville","Asti Imported Italian Foods, Inc.","200701841","5","2879878.1200","2606766.4600","273111.6600","992795.0000","719683.3400","273111.6600","92858.5000","79202.8200","13655.6800",
"Bensenville","BACCI OF BENSENVILLE, INC.","170701605","6","8866313.5600","8153139.7500","713173.8100","2929352.0000","2216178.4400","713173.5600","241481.0700","205822.2500","35658.8200",
"Bensenville","Burcall Corp.","120704940","6","10446361.2500","9471424.6700","974936.5800","3900936.0000","2925980.9200","974955.0800","329826.6100","281078.7900","48747.8200",
"Bensenville","C L Quick Stop of Belvidere, Inc.","170701628","6","17551042.7500","15899708.5400","1651334.2100","5774537.0000","4123164.0500","1651372.9500","559079.6200","476510.9300","82568.6900",
"Bensenville","CHIQUITA FOOD MARKET BENSENVILLE, INC.","170703215","5","5179383.9900","4732273.8600","447110.1300","1732032.0000","1284921.3700","447110.6300","150855.8600","128500.2900","22355.5700",
"Bensenville","DE CAMPANA RESTAURANT, INC.","140702419","6","13635810.6700","12393985.0000","1241825.6700","4773263.0000","3531437.5800","1241825.4200","421068.0700","358976.7900","62091.2800",
"Bensenville","ELITE RESTAURANT GROUP IV, INC.","170702983","6","44926432.0200","41297524.9000","3628907.1200","14198178.0000","10569264.8600","3628913.1400","1229936.6700","1048491.0000","181445.6700",
"Bensenville","Golden Nest Restaurant, Inc.","190701944","6","20307365.3800","18450333.3700","1857032.0100","6714500.0000","4857467.3200","1857032.6800","630949.8500","538098.1700","92851.6800",
"Bensenville","Golden Nest Restaurant, Inc.","210700372","5","125248.5300","108594.1600","16654.3700","51453.0000","34798.6300","16654.3700","5662.4700","4829.7600","832.7100",
"Bensenville","MAMMA MARIA'S PIZZERIA-BENSENVILLE, INC.","190700856","3","5424140.6200","4879719.7400","544420.8800","1946715.0000","1402283.5600","544431.4400","185106.8700","157885.2700","27221.6000",
"Bensenville","Mariscos El Amigo 3, Inc.","210703253","4","615963.0900","551880.4300","64082.6600","250729.0000","186620.3400","64108.6600","21797.0700","18591.6100","3205.4600",
"Bensenville","RAY'S LLC","190701173","4","3052860.6200","2856836.1500","196024.4700","1089421.0000","893396.5300","196024.4700","66391.1800","56589.9800","9801.2000",
"Bensenville","Stella's - Brentwood Commons, LLC","170700200","6","48617307.0600","44267428.5200","4349878.5400","15590511.0000","11240632.4600","4349878.5400","1473845.4900","1256351.5400","217493.9500",
"Bensenville","TACOS PUEBLA 2, INC.","220701803","6","1147238.8300","1029536.8000","117702.0300","416411.0000","298708.9700","117702.0300","40018.7100","34133.6000","5885.1100",
"Bensenville","The Original Jim & Tom's, Inc.","190703181","6","3328519.2700","2984094.9500","344424.3200","1034572.0000","690147.5800","344424.4200","117104.8800","99883.5700","17221.3100",
"Benson","A.J.'s Lounge of Benson, Inc.","120707733","6","10037282.7600","9276761.9900","760520.7700","3165909.0000","2405388.8600","760520.1400","257714.0000","219687.9400","38026.0600",
"Benton","Bado-Don Enterprises LLC","210701017","5","1988697.5400","1795941.5800","192755.9600","641963.0000","449207.0400","192755.9600","65537.3300","55899.4800","9637.8500",
"Benton","Benton Aerie #2898, Inc., Fraternal Order of Eagles","120806570","6","16103973.2000","14841019.7100","1262953.4900","5344295.0000","4081245.6100","1263049.3900","427881.5500","364728.9700","63152.5800",
"Benton","Benton Lodge No.1234, Benevolent and Protective Order of Elks of the USA","120811580","5","4868104.6700","4478210.9400","389893.7300","1509681.0000","1119773.6200","389907.3800","131979.3700","112483.9900","19495.3800",
"Benton","Boneyard Boccie Ball Club","130705056","5","7308754.8600","6753686.3500","555068.5100","1954467.0000","1399393.4900","555073.5100","188164.4300","160410.7400","27753.6900",
"Benton","Brenda Doxsie","220701238","6","2359066.5800","2156875.5000","202191.0800","708030.0000","505839.1000","202190.9000","67833.1900","57723.6000","10109.5900",
"Benton","CHARLIE PAUL'S LLC","180700535","6","10991199.1900","10090434.8000","900764.3900","3476443.0000","2575594.1000","900848.9000","305098.5600","260056.0400","45042.5200",
"Benton","Eastside Liquor & Gaming, LLC","200700695","6","10367924.0900","9451168.2700","916755.8200","2778531.0000","1861671.0400","916859.9600","311733.3000","265890.1800","45843.1200",
"Benton","Flo's Gaming, LLC","220700476","6","7157993.8500","6536748.7600","621245.0900","2358095.0000","1736849.9100","621245.0900","211223.6500","180161.3400","31062.3100",
"Benton","Flo's Gaming, LLC","220700758","6","5517719.2100","5036792.2600","480926.9500","1763588.0000","1282661.0500","480926.9500","163515.0400","139468.7200","24046.3200",
"Benton","Hoot N Holler Saloon LLC","130702689","6","13599501.3700","12461917.2700","1137584.1000","3497681.0000","2360096.9200","1137584.0800","385795.5100","328916.3100","56879.2000",
"Benton","I Khodal, LLC","190702094","5","4405002.8300","4069356.8600","335645.9700","1415973.0000","1080327.0300","335645.9700","113671.4400","96889.1600","16782.2800",
"Benton","I Shree 1 Inc.","220701647","5","1429281.1300","1293348.4900","135932.6400","483156.0000","347223.0000","135933.0000","46217.5000","39420.8100","6796.6900",
"Benton","Jack Russell Fish Company, LLC","120709585","4","444395.9000","416538.4900","27857.4100","161137.0000","133279.5900","27857.4100","9354.8200","7961.9400","1392.8800",
"Benton","Jay Khodal Inc.","210702450","5","4065521.2200","3716035.4300","349485.7900","1303682.0000","954196.2100","349485.7900","118825.3200","101351.0400","17474.2800",
"Benton","Joe's Pizza of Benton, Inc.","160703670","4","1479821.5700","1381038.5200","98783.0500","464329.0000","365545.9400","98783.0600","33434.9100","28495.6900","4939.2200",
"Benton","K & M Liquors, Inc.","190702870","5","7330974.9600","6690204.0800","640770.8800","2178229.0000","1537458.0400","640770.9600","217775.5400","185736.8700","32038.6700",
"Benton","Karla Donaldson","120702307","6","10435748.1500","9560251.7800","875496.3700","3326704.0000","2451207.5600","875496.4400","296372.8100","252597.9600","43774.8500",
"Benton","Kelscotra, Incorporated","120705824","6","3803290.6900","3496077.7400","307212.9500","1129421.0000","822207.6300","307213.3700","103962.0400","88601.3800","15360.6600",
"Benton","Mac's Convenience Stores LLC","190703976","5","12174653.9900","11018910.3700","1155743.6200","3656217.0000","2500473.3800","1155743.6200","392952.8700","335165.7200","57787.1500",
"Benton","Martin & Bayley, Inc.","190702458","6","16130657.0200","14742268.0000","1388389.0200","4827760.0000","3439370.5800","1388389.4200","472052.5100","402633.0200","69419.4900",
"Benton","Stanley Mc Collum Post No. 280 of the American Legion ","120907005","6","9733289.4900","8916535.4900","816754.0000","3157200.0000","2340446.0000","816754.0000","276380.4200","235542.6900","40837.7300",
"Benton","Stots, Inc.","170701162","6","10598134.2000","9811340.5000","786793.7000","3506675.0000","2719861.3800","786813.6200","266451.5900","227110.8400","39340.7500",
"Benton","The Black Sheep Tavern, Inc.","150704337","4","1132445.0600","1036740.0200","95705.0400","394329.0000","298623.8100","95705.1900","32243.0500","27457.7900","4785.2600",
"Berkeley","Berkeley's Best Wings, Inc.","140703931","6","13426345.8900","12358405.2300","1067940.6600","4717270.0000","3649329.3400","1067940.6600","360820.6200","307423.4700","53397.1500",
"Berkeley","BERKELEY'S FINER FOODS, INC.","190703857","6","2922971.2300","2664423.2700","258547.9600","1000162.0000","741613.4000","258548.6000","87906.8600","74979.4400","12927.4200",
"Berkeley","Bobby's, Inc.","130700503","5","8685151.0600","7881911.0000","803240.0600","2768866.0000","1965575.7500","803290.2500","271993.9000","231829.3400","40164.5600",
"Berkeley","Illinois Café & Service Company, LLC","130703486","6","26357981.5800","24089094.1400","2268887.4400","8845353.0000","6576465.8600","2268887.1400","768201.1200","654756.7400","113444.3800",
"Berkeley","LCI Highland of Illinois LLC","140702997","6","34244842.7400","31240665.4500","3004177.2900","10710420.0000","7706160.0900","3004259.9100","1017302.8300","867089.8400","150212.9900",
"Berkeley","Rockys' Gyros Inc.","160702608","6","7312592.7300","6658640.9700","653951.7600","2931048.0000","2277082.5400","653965.4600","221282.7000","188584.3900","32698.3100",
"Berkeley","Super Taco Express 1 Corp.","160702595","6","8665149.1300","7941453.2900","723695.8400","2723141.0000","1999445.2100","723695.7900","244494.1800","208309.3100","36184.8700",
"Berwyn","16th Street Liquors, INC.","120707310","6","9997107.4000","9054384.3600","942723.0400","3411342.0000","2468598.8400","942743.1600","318583.8300","271446.6100","47137.2200",
"Berwyn","3 G HOSPITALITY, LLC","180703963","6","17153902.2000","15683014.2900","1470887.9100","6695404.0000","5224516.0900","1470887.9100","498249.7500","424705.3500","73544.4000",
"Berwyn","6245 CLUB, INC.","200700226","6","1660896.9400","1513987.7200","146909.2200","638578.0000","491668.7800","146909.2200","49949.3100","42603.8300","7345.4800",
"Berwyn","6512 W CERMAK LLC","220701928","6","4188034.5200","3772991.5100","415043.0100","1655879.0000","1240835.9900","415043.0100","141114.7800","120362.6000","20752.1800",
"Berwyn","6907 ROOSEVELT LLC","200701740","6","1900090.8300","1725258.4500","174832.3800","740079.0000","565246.3000","174832.7000","59443.2000","50701.5700","8741.6300",
"Berwyn","Arteaga Enterprises, Inc.","120708124","4","5029313.9600","4526960.7100","502353.2500","1934945.0000","1432585.0200","502359.9800","169959.0700","144841.0900","25117.9800",
"Berwyn","Berwyn Eagles Aerie 2125 FOE.","120802021","6","3525395.3000","3198121.1900","327274.1100","1205277.0000","877913.8400","327363.1600","110796.3100","94428.0700","16368.2400",
"Berwyn","Berwyn Lodge No. 424, Loyal Order of Moose","120801345","4","2093808.2200","1912726.6500","181081.5700","682636.0000","501464.2400","181171.7600","61286.2800","52227.6700","9058.6100",
"Berwyn","Blackhawk Restaurant Group LLC Series 6969Berwyn","130706517","6","46069882.8000","42334520.6800","3735362.1200","14470341.0000","10734582.6600","3735758.3400","1265431.8800","1078643.9700","186787.9100",
"Berwyn","Blackjack's Group, INC.","160701449","6","21426699.9400","19453033.3700","1973666.5700","7555843.0000","5581382.1300","1974460.8700","668001.9100","569278.8600","98723.0500",
"Berwyn","Cafe Amore, Inc.","130706428","6","20028411.5600","18370256.9600","1658154.6000","6993772.0000","5335591.0400","1658180.9600","561664.1800","478755.1200","82909.0600",
"Berwyn","CAFE GRILL & CAPPUCCINO BAR, INC.","220701518","6","2262614.4100","2113098.1300","149516.2800","680555.0000","531038.7200","149516.2800","50835.6800","43359.8400","7475.8400",
"Berwyn","CGVM ENTERPRISE, INC.","180700040","6","23578881.8300","21672208.4700","1906673.3600","8574935.0000","6668211.8400","1906723.1600","645643.8000","550307.6000","95336.2000",
"Berwyn","Chackos Liquor Inc","220703753","6","1070952.9200","973308.4100","97644.5100","385833.0000","288188.4900","97644.5100","33199.2000","28316.9700","4882.2300",
"Berwyn","Commodore Barry Post No. 256, Illinois Department of the American Legion","120713099","5","4741005.6000","4353724.8300","387280.7700","1665227.0000","1277945.8000","387281.2000","130987.8900","111623.7800","19364.1100",
"Berwyn","CONNIE'S & GIANNIS, INC.","130701991","5","7822588.5000","7138550.0200","684038.4800","3259982.0000","2575943.4400","684038.5600","231252.4800","197050.4700","34202.0100",
"Berwyn","D&A GAMING, INC.","160702079","6","7354094.5700","6784465.0700","569629.5000","2482872.0000","1913242.5000","569629.5000","192993.6800","164512.2000","28481.4800",
"Berwyn","DIAMOND LACEY'S LTD.","160701652","6","20998361.1500","19178306.0200","1820055.1300","7918044.0000","6097988.8700","1820055.1300","616024.9000","525022.0700","91002.8300",
"Berwyn","Diamond Lacey's LTD.","160701971","6","6313069.4000","5706505.9200","606563.4800","2264665.0000","1658096.3200","606568.6800","202852.7300","172524.2900","30328.4400",
"Berwyn","DLN ENTERPRISES, INC.","140704007","6","16761683.7600","15366221.0100","1395462.7500","5751528.0000","4356065.2500","1395462.7500","472174.9400","402401.7200","69773.2200",
"Berwyn","E.T. And T Enterprises INC","150701755","6","21358206.6800","19514606.3600","1843600.3200","7270403.0000","5426754.1800","1843648.8200","623918.4400","531735.9200","92182.5200",
"Berwyn","El Corral Nightclub Inc.","130701474","5","2544031.1200","2311966.9500","232064.1700","779035.0000","546970.6800","232064.3200","78615.3800","67012.1300","11603.2500",
"Berwyn","EL NUEVO VALLARTA SPORTS BAR AND GRILL INC.","190702712","6","8255912.6600","7536751.7600","719160.9000","3494594.0000","2775174.8200","719419.1800","244602.5000","208631.5800","35970.9200",
"Berwyn","EMWDP, INC.","160700428","6","17845013.2500","16244215.6800","1600797.5700","6544647.0000","4943849.4400","1600797.5600","542365.1900","462325.2800","80039.9100",
"Berwyn","EMWDP2 INC.","160703110","4","2306280.1600","2087845.7200","218434.4400","846058.0000","627623.5600","218434.4400","73977.7500","63055.9800","10921.7700",
