"Statewide Allocation Detail"
"August 2019 - August 2023"
"Report Date: 09/28/2023 19:14 PM",
"Municipality","Establishment","License Number","VGT Count","Amount Played","Amount Won","Net Wager","Funds In","Funds Out","Net Terminal Income","NTI Tax","State Share","Municipality Share",
"Addison","HAMMERHEAD ENTERTAINMENT, INC.","120712603","6","23060658.8500","20824405.5600","2236253.2900","7949674.0000","5713402.3300","2236271.6700","756566.1700","644752.5100","111813.6600",
"Addison","Icon Entertainment, LLC","120712413","6","23152472.5300","21078887.5300","2073585.0000","7294284.0000","5220530.3700","2073753.6300","702704.2100","599016.4000","103687.8100",
"Addison","ILIOS 22 INC.","220701594","6","1947846.2400","1766204.4600","181641.7800","801077.0000","619435.2200","181641.7800","61758.3100","52676.2300","9082.0800",
"Addison","Illinois Café & Service Company, LLC","140700208","6","3264641.4200","2970996.8700","293644.5500","988474.0000","694829.4500","293644.5500","96902.9500","82220.7000","14682.2500",
"Addison","J & G Corporation","120712348","6","30447800.7000","27690877.5900","2756923.1100","10922450.0000","8165494.6300","2756955.3700","933691.7100","795843.9300","137847.7800",
"Addison","JB Addison, LLC","220700285","3","498138.6600","460948.7100","37189.9500","197311.0000","160001.0500","37309.9500","12538.9700","10695.0000","1843.9700",
"Addison","KAGG LOUNGE, INC.","120712353","6","24388336.0600","22155674.0000","2232662.0600","8832668.0000","6600005.9400","2232662.0600","755607.5400","643974.4100","111633.1300",
"Addison","Krage's Inc.","220702783","6","150686.8700","128345.7100","22341.1600","62674.0000","40332.8400","22341.1600","7596.0400","6478.9700","1117.0700",
"Addison","La Bella Bistro, Inc.","120712422","6","28447063.3500","25961038.6700","2486024.6800","8144174.0000","5658148.7100","2486025.2900","840920.1000","716618.7600","124301.3400",
"Addison","La Magdalena 321 Inc.","170704214","2","598525.8600","547971.6900","50554.1700","228441.0000","177886.8300","50554.1700","17089.8800","14562.1800","2527.7000",
"Addison","Lacey's Place LLC Series Addison","160700946","6","48073623.9000","43407996.9400","4665626.9600","15882404.0000","11216733.1400","4665670.8600","1581444.8900","1348161.2800","233283.6100",
"Addison","Lacey's Place LLC Series Addison 2","160704096","6","36059783.6600","32773754.6100","3286029.0500","11655533.0000","8369379.2500","3286153.7500","1113512.0300","949204.2200","164307.8100",
"Addison","Lake St. And Medinah Rd., Inc.","140700227","6","45860147.6100","41890606.9400","3969540.6700","14598938.0000","10629390.3400","3969547.6600","1344980.6400","1146503.1000","198477.5400",
"Addison","LAURA BIZAURA, LLC - SERIES 3 - LAKE STREET","220702232","6","4518024.9000","4164736.9400","353287.9600","1487121.0000","1133833.0400","353287.9600","120118.0300","102453.6300","17664.4000",
"Addison","LUCKI CAFE, INC.","160700613","6","7561494.9000","6881116.6100","680378.2900","2324368.0000","1643984.5800","680383.4200","229703.5600","195684.4100","34019.1500",
"Addison","Millie's Pancake Shoppe II, INC.","210702977","6","3746555.7400","3418251.5500","328304.1900","1236900.0000","908595.8100","328304.1900","111623.6800","95208.4100","16415.2700",
"Addison","PAPPOUS, INC.","200700619","4","618867.1600","567472.9100","51394.2500","234494.0000","183099.7500","51394.2500","17474.1700","14904.4400","2569.7300",
"Addison","R.E. Plan, LLC","170703978","6","8646402.0600","7837604.9100","808797.1500","3068749.0000","2259902.2500","808846.7500","274327.0800","233884.6900","40442.3900",
"Addison","RNA, INC.","210703856","5","1753466.7300","1594674.2900","158792.4400","579026.0000","420233.5600","158792.4400","53330.4100","45390.7700","7939.6400",
"Addison","RSB TAVERN INC.","210703187","6","4215262.6400","3806640.9200","408621.7200","1516523.0000","1107901.2800","408621.7200","138931.8200","118500.6800","20431.1400",
"Addison","SEK ENTERPRISES, INC.","130703780","5","3941652.7500","3641413.9300","300238.8200","1177345.0000","877106.1800","300238.8200","101064.3000","86052.3900","15011.9100",
"Addison","SHOELESS JOE'S ALE HOUSE AND GRILLE, LLC","160702750","6","16438195.2900","15007052.9700","1431142.3200","5654596.0000","4223453.7200","1431142.2800","484920.9800","413363.7600","71557.2200",
"Addison","Sunmist Restaurant, Inc.","130703357","4","7276.5400","6454.2500","822.2900","2198.0000","1359.8100","838.1900","276.5900","234.6800","41.9100",
"Addison","TAQUERIA LOS TRES POTRILLOS, INC.","190701738","3","764548.5300","703107.2900","61441.2400","248344.0000","186861.3100","61482.6900","20904.5200","17830.3300","3074.1900",
"Addison","THAT ITALIAN PLACE, INC.","210701494","6","750261.4300","677680.8100","72580.6200","308120.0000","235539.3800","72580.6200","24677.8400","21048.7500","3629.0900",
"Addison","Tiger Zinda Hai Inc","210700077","5","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"Addison","UNDERSCORE, INC.","170701243","5","1788123.8800","1635163.7400","152960.1400","642733.0000","489772.8600","152960.1400","51642.4800","43994.4500","7648.0300",
"Addison","VENUTI MANAGEMENT, INC.","190701346","6","6279825.4300","5762535.7500","517289.6800","2139381.0000","1622091.3200","517289.6800","175878.9600","150014.3800","25864.5800",
"Albany","KJM LLC","170702514","6","6642019.6900","6082028.3600","559991.3300","2611921.0000","2051906.1900","560014.8100","189784.1000","161783.2300","28000.8700",
"Albany","LEXMO LLC","150701718","5","1714066.9900","1547369.2300","166697.7600","616015.0000","449317.1300","166697.8700","55934.6400","47599.7400","8334.9000",
"Albers","PETE'S BAR AND GRILL, INC.","150702131","5","9437679.8800","8633801.9000","803877.9800","3392011.0000","2588133.2100","803877.7900","272402.2000","232208.2300","40193.9700",
"Albion","'Albion Lodge No. 621, Loyal Order of Moose'","140900593","4","245947.7800","228875.8500","17071.9300","70486.0000","53414.0700","17071.9300","5649.3600","4795.7800","853.5800",
"Albion","Albion Browns Post #590 American Legion, Inc.","130905306","4","6595760.3200","6141737.5400","454022.7800","1133761.0000","679738.0800","454022.9200","153917.3200","131216.1600","22701.1600",
"Albion","Edwards County Memorial Post #8222 Veterans Of Foreign Wars of the United States, Inc.","130903919","4","2592985.7700","2394714.0500","198271.7200","529134.0000","330775.4000","198358.6000","67193.2800","57275.3800","9917.9000",
"Albion","El Gallito Mexican Restaurant, LLC","200700002","3","2226.9300","2007.9100","219.0200","699.0000","479.9800","219.0200","74.4700","63.5200","10.9500",
"Albion","Spare Time, LLC","180701445","6","3338745.8400","3054784.5600","283961.2800","1022880.0000","738918.0400","283961.9600","96053.2100","81855.0900","14198.1200",
"Aledo","CASEY'S RETAIL COMPANY","210701098","6","60963.0600","60160.0100","803.0500","21645.0000","20841.9500","803.0500","273.0300","232.8800","40.1500",
"Aledo","Cheers on Main LLC","190703515","6","6665832.6900","6037140.9500","628691.7400","2052472.0000","1423732.9900","628739.0100","213620.4200","182183.4000","31437.0200",
"Aledo","FERG'S PUBLIC HOUSE, INC.","170702358","5","3105711.3600","2839384.4100","266326.9500","940623.0000","674296.0500","266326.9500","90272.8000","76956.4100","13316.3900",
"Aledo","Mac's Convenience Stores LLC","170704043","5","10668372.8800","9687181.9400","981190.9400","2810804.0000","1829613.0600","981190.9400","332686.5100","283626.9700","49059.5400",
"Aledo","Mercer County Post No.1571, Veterans of Foreign Wars of The United States","120910348","3","920848.5900","838177.6100","82670.9800","319909.0000","237238.0200","82670.9800","27866.7600","23733.1600","4133.6000",
"Aledo","Nolam, Inc.","120710598","6","9390494.6200","8598518.1300","791976.4900","2937448.0000","2145442.2700","792005.7300","267912.7200","228312.3700","39600.3500",
"Aledo","Oak View Country Club","120709717","3","1649192.3500","1519964.9400","129227.4100","456687.0000","327459.5400","129227.4600","43756.3800","37295.0300","6461.3500",
"Aledo","Singh & Kaur, LLC","170704347","5","997805.0300","920503.2100","77301.8200","273223.0000","195921.1800","77301.8200","25509.5600","21644.4500","3865.1100",
"Alexander County","Cop Brothers, LLC","180702272","6","9277928.5200","8468300.8600","809627.6600","2687957.0000","1878328.8900","809628.1100","274411.2000","233929.7200","40481.4800",
"Alexander County","Fill - Up Mart, Inc.","140703455","6","10351995.1300","9504792.4400","847202.6900","3192882.0000","2345679.2200","847202.7800","286849.5300","244489.2700","42360.2600",
"Alexander County","Horseshoe Bar & Grill, LLC","170700016","4","6542867.5500","6050149.0000","492718.5500","2217862.0000","1725143.2900","492718.7100","167063.5300","142427.5600","24635.9700",
"Alexander County","Tom's Fish Place LLC","220701730","3","272119.1800","248270.7500","23848.4300","72336.0000","48487.5700","23848.4300","8108.4200","6916.0200","1192.4000",
"Alexis","Allgeyer, LLC","170704137","4","5182558.0500","4733622.8000","448935.2500","1934480.0000","1485544.7500","448935.2500","152111.4800","129664.6500","22446.8300",
"Alexis","TROUT INCORPORATED","180703627","4","2780648.8000","2537077.5100","243571.2900","945478.0000","701906.6600","243571.3400","82551.7100","70373.1100","12178.6000",
"Algonquin","Algonquin Commons Co.","170703277","6","7920408.3400","7231212.9400","689195.4000","2698499.0000","2009303.5500","689195.4500","233615.1700","199155.2900","34459.8800",
"Algonquin","ALGONQUIN SUSHI KING INC.","160702801","5","4326431.0500","3999528.7500","326902.3000","1451982.0000","1125079.3500","326902.6500","110439.5600","94094.4100","16345.1500",
"Algonquin","Battaglia's Pizza, Inc.","120702280","6","12678901.8100","11624523.4800","1054378.3300","3723386.0000","2668987.6500","1054398.3500","356439.4100","303719.3100","52720.1000",
"Algonquin","Bull's Eye Pub & Eatery, LLC","190700461","5","6320442.6200","5747268.1100","573174.5100","2383945.0000","1810770.2900","573174.7100","194879.5200","166220.7800","28658.7400",
"Algonquin","Cattlemans Burger & Brew, Inc.","190700240","4","2918721.3100","2667978.1800","250743.1300","1048164.0000","797420.5500","250743.4500","84840.0900","72302.8800","12537.2100",
"Algonquin","CHINA DRAGON 1 INCORPORATED","170701581","5","8289323.9400","7612764.2800","676559.6600","2457057.0000","1780301.3200","676755.6800","229541.3500","195703.5900","33837.7600",
"Algonquin","Colatorti, Inc.","180702263","5","3528956.1500","3194508.6000","334447.5500","1369914.0000","1035466.6500","334447.3500","113219.3400","96496.9500","16722.3900",
